StateID,MenTotal,WomenTotal,TotalPopSum,HispanicTotal,WhiteTotal,BlackTotal,NativeTotal,AsianTotal,PacificTotal
1,2350806,2499965,4850771,4524.0,72091.3,37170.5,531.6,1262.6,33.8
10,456876,486856,943732,1927.4,13631.2,4512.9,66.3,755.5,4.6000000000000005
11,319046,353345,672391,1770.6,6143.4,8887.8,31.2,615.4,6.2
12,9914361,10364086,20278447,92946.1,241849.5,62980.4,907.6,9755.7,214.1
13,4968887,5232748,10201635,16878.2,104547.2,63297.9,359.5,6377.5,89.7
15,713981,707677,1421658,3105.2,7680.0,585.4,45.2,11543.5,2781.1
16,830627,826748,1657375,3552.5,24626.6,182.1,455.6,345.8,34.4
17,6312600,6541926,12854526,49471.6,187929.5,53232.0,363.4,14468.4,69.0
18,3258279,3356139,6614418,10227.6,117406.6,16819.6,302.4,2577.0,51.4
19,1548035,1570067,3118102,4641.0,71520.9,2856.8,254.1,1522.0,76.9
2,386319,352246,738565,1036.2,9896.8,446.2,2837.5,938.1,182.4
20,1445980,1457840,2903820,9076.5,57293.3,4928.2,535.7,1856.1,44.4
21,2179025,2245351,4424376,3711.9,94101.8,9269.1,205.3,1317.0,49.9
22,2281239,2382222,4663461,5674.5,61569.8,41021.6,541.5,1900.0,31.8
23,651040,679118,1330158,534.1,32779.2,430.8,297.8,342.6,7.8
24,2906277,3089802,5996079,12557.2,71799.8,42705.4,278.9,7604.0,57.7
25,3293426,3495893,6789319,17746.7,105257.8,10277.4,203.6,8899.9,38.0
26,4880579,5044989,9925568,13139.7,198076.2,48561.9,1288.4,7194.8,67.8
27,2731831,2758895,5490726,7055.6,107537.7,8046.4,1435.2,5775.9,42.2
28,1448717,1537503,2986220,1921.6,34519.4,27732.5,266.7,588.6,13.0
29,2981332,3093968,6075300,5830.6,107186.9,19652.7,509.9,2373.9,134.3
30,517860,512002,1029862,961.5,23206.2,103.8,1912.8,161.9,13.5
31,943547,950374,1893921,5185.1,42730.1,2666.5,386.0,1070.1,36.7
32,1450091,1437634,2887725,18953.7,35054.6,5478.1,720.3,5003.5,390.0
33,659131,672717,1331848,1023.9,26534.2,374.1,41.0,689.6,4.9
34,4372321,4587840,8960161,38968.2,111206.2,28568.1,212.6,16968.8,46.4
35,1032086,1052742,2084828,22965.2,19753.1,853.1,4699.9,626.0,20.0
36,9604111,10194117,19798228,85416.7,271279.1,75126.7,1549.4,40088.7,145.1
37,4895368,5157196,10052564,19018.7,138775.6,46526.9,2364.8,5285.6,117.10000000000001
38,382121,363354,745475,658.7,17679.8,372.1,1177.2,201.6,8.2
39,5686081,5923675,11609756,11400.6,221391.1,47780.6,479.1,5118.4,84.8
4,3385055,3424891,6809946,45584.9,85641.3,5855.7,6683.3,4505.7,261.0
40,1930615,1965636,3896251,11041.7,68148.6,8760.2,7218.8,1947.2,122.8
41,1993822,2031305,4025127,9778.1,64084.4,1454.0,787.5,3080.6,282.0
42,6260160,6530345,12790505,21033.6,245248.3,37292.0,375.7,9474.1,60.0
44,512581,543557,1056138,3439.0,17524.6,1391.6,86.7,802.7,13.6
45,2376759,2516685,4893444,5696.4,68239.1,31266.1,299.2,1417.0,63.0
46,430587,424857,855444,767.4,18171.1,333.6,2118.0,260.2,8.9
47,3217073,3380308,6597381,7276.9,108426.5,27134.9,339.4,2175.3,77.8
48,13616977,13802635,27419612,202801.5,228527.0,60967.3,1339.6,19979.0,394.9
49,1506614,1487327,2993941,8047.5,46142.4,611.6,631.4,1301.6,491.1
5,1461651,1516293,2977944,4418.9,48141.6,13162.0,367.4,818.6,103.2
50,308026,316610,624636,312.7,17134.0,208.2,52.5,243.8,4.9
51,4113988,4251964,8365952,15560.9,117732.2,37762.8,423.4,10540.9,115.7
53,3580888,3589079,7169967,16710.5,102564.8,4884.5,1975.0,10617.1,909.6
54,907621,929222,1836843,662.9,44473.1,1923.9,80.0,349.8,12.9
55,2864115,2899102,5763217,9693.2,110358.0,11556.1,1329.0,3509.4,35.5
56,298301,284899,583200,1268.6,11039.7,129.7,272.8,113.9,9.2
6,19366579,19616268,38982847,302436.7,315375.1,44892.6,3313.3,107156.8,2759.2
72,1653997,1814966,3468963,87632.2,778.6,83.6,3.0,75.8,1.3
8,2731315,2705204,5436519,26172.2,86278.9,4357.6,735.4,3438.6,161.7
9,1754046,1840432,3594478,13426.5,55175.2,8681.9,117.4,3432.7,15.3
